,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9
49,763588,17165888,176972,6310,3579,7893,1948120,294442,2998,69139
50,5,17165888,7692533,7844798,9322920,33376257,763588,29102876,25332008,30340888
51,30205595,27247476,33158525,28473874,30340888,25689022,29102876,28114578,17165888,31423547
52,763588,17165888,28210996,176972,165068,29102876,161099,13083239,6319,9677870
53,219557,25785760,16029151,17165888,29152096,5,29279220,24885829,763588,30205595
54,17165888,30340888,161099,28210996,69139,765654,2805987,109059,816487,25785760
55,7846067,13083239,33376257,17165888,8319728,18051269,29279220,7893,25377078,28210996
56,763588,3636,13083239,176972,30120,29279220,47281,3579,8337,816487
57,763588,176972,7846067,30340888,31145060,109059,17165888,9677870,13083239,32956666
58,3579,2998,763588,3008,489972,47558,77390,9822,194870,911579
59,763588,176972,25058,17165888,816487,68653,4215733,7893,161099,7846067
60,17165888,4215733,29279220,763588,68653,28210996,13083239,30340888,7846067,33376257
61,17165888,7846067,25377078,27247476,4215733,29152096,9642662,13624190,7844798,28210996
62,7846067,2805987,763588,17165888,7844798,7692533,68653,28210996,4215733,176972
63,68653,31258103,816487,763588,1414607,2060655,28210996,453916,23528363,300961
64,7846067,17165888,28210996,16029151,25377078,763588,31145060,30205595,33016249,30340888
65,667234,765281,68653,29279220,14118,763588,31258103,820075,22917,310272
66,5,24178,30119,113946,140225,763588,6347563,7846067,13083239,16101018
67,2998,3008,3980,10065,77390,140225,200963,297249,342994,420180
68,763588,17165888,9677870,28210996,4215733,29102876,453916,13083239,33376257,8319728
69,3980,4948,10065,42369,47281,77390,140225,183999,342994,474858
70,30340888,20697464,7692533,20575434,29102876,30205595,32956666,28210996,17071967,17165888
71,17165888,29102876,4215733,161099,763588,28637454,7692533,30340888,31626023,34523572
72,763588,17165888,8319728,816487,4215733,13083239,28210996,3980,47558,25377078
73,310272,766955,29279220,420282,11301,4215733,3579,909257,7784,763588
74,763588,3579,98573,4215733,816487,47281,113946,176972,31145060,28210996
75,763588,3579,8319728,5,1013383,816487,176972,219557,18051269,4215733
76,17082833,17165888,11594337,763588,37186,9677870,30205595,24819508,18570357,27247476
77,28210996,30340888,18051269,25785760,7846067,763588,8319728,27206444,4215733,24885829
78,7846067,763588,69139,13083239,30120,17165888,176972,68653,191113,161099
79,763588,31145060,17165888,816487,176972,4215733,30340888,68653,31626023,29279220
80,17269361,17071967,28588031,23719206,1709300,11867718,7616655,25785644,16029151,17398961
81,763588,7692533,16101018,16029151,9673436,28210996,29279220,31145060,7846067,17165888
82,29102876,24819508,28114578,16029151,7692533,161099,28645670,129771,758707,8319728
83,7846067,9677870,11387515,2904330,624744,16285053,8999818,8036440,32333298,24819508
84,7846067,763588,8036440,17165888,4215733,7692533,176972,23528363,9677870,28863341
85,763588,17165888,31145060,4215733,29102876,23590446,28210996,29152096,68653,31626023
86,140225,420180,29313,763588,6347563,7846067,13083239,17846011,22693811,24819508
87,7846067,763588,13083239,28210996,17165888,30340888,27247476,29102876,31626023,8319728
88,33376257,17165888,25937839,25377078,28210996,4215733,453916,29152096,29102876,68653
89,3118349,7846067,763588,30118,113946,13083239,22917,4215733,34002075,47558
90,17262290,17165888,13588082,28210996,29102876,20696727,33376257,20518841,22750286,7846067
91,29102876,763588,758707,19330,402009,4215733,17165888,31743096,3636,8319728
92,370493,176972,763588,31145060,37186,5,190343,165068,6347563,17165888
93,7846067,6871646,9673436,191113,32333298,9677870,816487,11387515,17165888,763588
94,7844798,23528363,30205595,33784360,17165888,27414384,29102876,31145060,20697464,161099
95,17165888,13586915,30340888,18051269,29102876,34137106,28818766,4215733,24795927,25937839
96,24885829,816487,29102876,1013383,7846067,23528363,17165888,28114578,29152096,165068
97,3980,763588,7846067,11233988,11387515,11556479,13083239,13531024,13624190,20708773
98,763588,7846067,176972,9677870,113946,17165888,816487,7844798,18051269,13083239
99,763588,17165888,30340888,29102876,28210996,13083239,17262290,421642,176972,29279220
100,3008,140225,767680,29313,83369,6347563,7846067,11387515,11556479,13083239
101,763588,17165888,7846067,4215733,28210996,68653,758707,8319728,31626023,30340888
102,24885829,17165888,20256596,33376257,758707,20696727,34523572,18166930,30340888,12960280
103,489972,11233988,28114578,47558,758707,17165888,25377078,9642662,24819508,9322920
104,17165888,28210996,31626023,30340888,8999818,20708761,33376257,32333298,33158525,30205595
105,17165888,30205595,17262290,4215733,28210996,763588,30340888,7692533,109059,33376257
106,5,2998,3008,47281,77390,140225,420180,3636,8337,29313
107,2998,3980,8337,98573,78039,763588,47558,348573,133526,176972
108,763588,6347563,7846067,13083239,33376257,3579,42486,47558,334818,9673436
109,2998,3008,4948,19543,23772,24178,30119,233093,420180,474858
110,4215733,7844798,18051269,68653,33016249,763588,17165888,34523572,28210996,4948
111,7846067,27247476,7844798,113946,17846011,23772,37186,15944573,11387515,763588
112,10065,42369,47281,77390,84369,140225,200963,420180,474858,826585
113,763588,28210996,18051269,8319728,13083239,9822,7846067,816487,11233988,17165888
114,17165888,28210996,30340888,7846067,25377078,4215733,758707,26586438,33376257,31626023
115,11301,30119,42369,77390,84369,113946,152380,420180,505304,511614
116,763588,37186,7846067,30119,4948,4215733,29102876,10365,17165888,816487
117,763588,6347563,7846067,13083239,23310669,24819508,33376257,109059,17262290,23528363
118,3579,763588,13083239,8319728,161099,8337,28210996,176972,17165888,18051269
119,763588,10365,7893,140225,30340888,312083,402009,20724592,834493,6347563
120,763588,3636,3579,28210996,3476560,816487,16029151,18051269,4215733,25785760
121,5,113946,3636,763588,7846067,11387515,13083239,25785760,33376257,47558
122,763588,17165888,8319728,176972,30340888,219557,4215733,65113,13083239,758707
123,763588,176972,13083239,9677870,13531024,109059,28210996,17165888,3323157,8319728
124,763588,7692533,29279220,2805987,34523572,161099,33016249,20697464,13586915,28210996
125,7846067,29102876,17165888,24885829,763588,28210996,30205595,7844798,30340888,20696727
126,30340888,21413862,7846067,191113,109059,161099,27247476,23719470,28210996,20724592
127,191113,7846067,17082833,2904330,9677870,15944573,515904,8999818,763588,11556479
128,10065,24178,46677,47281,77390,474858,3636,29313,140181,685472
129,2998,3008,3636,763588,6347563,7846067,11387515,13083239,16101018,20708773
130,7784,19543,24178,113946,4538,140181,685472,763588,2904330,5983694
131,9677870,17165888,30340888,7692533,763588,16029151,28210996,29102876,13591670,31626023
132,763588,165068,8319728,29279220,176972,300961,816487,6536681,24819508,13083239
133,763588,4215733,28210996,816487,68653,18051269,176972,7692533,31626023,29279220
134,763588,13083239,8319728,161099,17165888,29102876,5,16029151,28210996,109059
135,763588,29102876,28210996,17165888,4215733,3579,163657,18051269,758707,443103
136,763588,17165888,23590446,176972,4215733,16667794,28210996,68653,69139,161099
137,17165888,13083239,29279220,7692533,763588,28210996,7844798,8319728,68653,936503
138,7846067,7844798,16029151,6353418,28210996,515906,176972,109059,2805987,31145060
139,3008,77390,84369,140225,310039,474858,83369,763588,6347563,7846067
140,763588,33016249,29102876,28210996,161099,4215733,8337,31145060,176972,165068
141,28645670,8319728,30340888,18051269,5,6534132,17165888,7846067,25689022,28210996
142,763588,17165888,28210996,29102876,30340888,18051269,16029151,453916,13083239,77390
143,37186,3579,763588,4215733,17165888,7846067,3636,29102876,176972,13083239
144,763588,161099,13083239,816487,17165888,28210996,31145060,176972,9677870,33376257
145,32333298,161099,28210996,24885829,28114578,21965198,17165888,28588031,31145060,33376257
146,33376257,9677870,17165888,191113,776407,28210996,16029151,515904,31145060,4215733
147,83346,194870,916666,176972,69139,3980,161099,25689038,4948,289866
148,3579,4215733,543495,911579,77390,763588,163657,816487,29102876,28210996
149,763588,13083239,176972,7692533,30340888,140225,17165888,816487,28637454,29279220
150,7692533,30340888,763588,28210996,20697464,11387515,68653,30205595,16101018,18051269
151,816487,23528363,763588,31145060,17165888,109059,17262290,33376257,4215733,31626023
152,3579,176972,3636,14570,47558,763588,157993,8319728,152380,8337
153,3980,4948,10065,19321,30119,77390,84369,98573,140225,200963
154,4948,113946,9822,763588,7846067,13083239,22693811,33376257,3579,19330
155,5,77390,3636,763588,6347563,7493149,7623958,7846067,11233988,11556479
156,24963,6347563,15798648,15937111,17930108,18014736,18350733,20518873,20821299,21535485
157,7846067,22750286,23310669,33376257,17262290,17165888,20256596,30340888,30205595,29102876
158,7846067,17165888,9677870,28210996,30340888,13083239,33376257,32333298,24819508,30205595
159,763588,816487,16101018,13083239,22917,28210996,9677870,161099,7846067,8319728
160,3008,4948,10065,19321,19543,23772,24178,30118,30119,77390
161,30119,763588,7846067,11387515,11556479,11594337,13083239,13624190,16101018,17846011
162,7846067,9677870,17165888,32333298,30340888,30205595,24885829,31626023,33376257,763588
163,19543,763588,22917,30120,420282,157993,113946,30118,6310,176972
164,763588,17165888,29279220,4215733,13083239,8319728,28210996,68653,9677870,7846067
165,17165888,763588,29102876,28210996,7846067,18051269,24885829,758707,29279220,25785760
166,453916,24885829,17165888,3579,33376257,32333298,30340888,17262290,31626023,11233988
167,98573,18051269,78039,766955,28114578,17082833,33376257,515904,30205595,4215733
168,763588,17165888,31626023,28210996,4215733,17262290,161099,3579,30340888,18051269
169,763588,17165888,28210996,29102876,816487,68653,4215733,18051269,25785760,69139
170,763588,3579,29102876,7893,17165888,22917,28210996,13083239,109059,47558
171,5,763588,7846067,11233988,11556479,13624190,22750286,24819508,27247476,28818766
172,763588,30205595,816487,17165888,28210996,20697464,7692533,31626023,20696727,30340888
173,763588,176972,77390,776407,1243806,31145060,69139,28210996,17165888,6434058
174,19543,3636,30119,17165888,763588,17262290,31145060,11387515,24178,11594337
175,17165888,30340888,17262290,7692533,30205595,20708773,24885829,29102876,25745002,20899295
176,763588,4215733,17165888,758707,816487,5,13083239,8319728,113946,29102876
177,763588,20697464,7893,8319728,30340888,6642732,29279220,1422149,7846067,31145060
178,28114578,30340888,25332008,33158525,30037874,18166919,12960280,22323666,25663943,25689022
179,7846067,17165888,8319728,30340888,763588,20697464,28210996,18465502,30205595,28507895
180,17262290,138070,20696727,17165888,31145060,24178,125507,763588,109059,30205595
181,28210996,4215733,22889878,18051269,763588,7846067,17846011,68653,30340888,25738883
182,4215733,68653,543495,28210996,33376257,23590446,763588,17165888,3579,29279220
183,11233988,17165888,6310,7846067,28210996,11387515,165068,29102876,161099,28686931
184,17165888,30340888,33376257,29279220,16029151,30205595,7692533,6222756,26586438,13586915
185,763588,28210996,68653,816487,31626023,161099,30340888,24885829,29279220,18051269
186,5,2998,3008,3980,42369,77390,78411,511614,6310,8337
187,20708773,3980,16029151,24178,3579,1422149,23281892,28954098,17165888,17352907
188,28210996,30340888,18051269,936503,17165888,763588,25785760,31626023,5,34137106
189,763588,7846067,17165888,28210996,9677870,3636,13591670,31145060,16029151,11594337
190,7846067,816487,763588,30340888,8319728,165068,27247476,9677870,357664,7268995
191,113946,25377078,17165888,24561496,816487,28362008,4215733,161099,176972,30340888
192,763588,816487,11594337,7692533,30340888,27247476,23528363,11387515,17165888,8319728
193,176972,17165888,776407,763588,4215733,29279220,219557,29102876,758707,13588160
194,763588,176972,10365,3579,24178,17165888,37186,4215733,219557,22917
195,17165888,28210996,763588,4215733,7846067,33376257,13083239,18051269,29102876,8319728
196,7846067,28210996,763588,16029151,31145060,8319728,161099,29102876,31626023,17165888
197,763588,165068,176972,7846067,25058,32956666,3579,22917,2998,13083239
198,5,2998,3008,3980,4948,7779,7784,11301,19543,24178
199,68653,834493,402009,17165888,14570,7893,421642,2060655,28210996,763588
200,18051269,8319728,11387515,887573,3579,144006,13083239,28210996,16101018,11594337
201,10065,84369,98573,152380,8337,763588,6347563,9661136,11387515,13083239
202,7846067,28210996,17165888,30340888,17262290,191113,13083239,7844798,18051269,33784360
203,32333298,17165888,7846067,33376257,25785760,30205595,28210996,31145060,25721449,24885829
204,17165888,28210996,763588,7846067,16029151,68653,30340888,17262290,453916,816487
205,17165888,28210996,138070,33376257,29102876,20696727,24885829,32333298,20518841,30205595
206,763588,18051269,4215733,113946,816487,17165888,28210996,68653,176972,33376257
207,763588,191113,13083239,22917,515904,28210996,8319728,6310,140225,11556479
208,5,3636,763588,3579,109059,176972,31145060,4215733,6534132,13260645
209,763588,7846067,11594337,13083239,24819508,25785760,33376257,37186,109059,860745
210,9677870,28210996,8319728,763588,5,191113,27247476,17165888,161099,16101018
211,763588,13083239,8319728,30119,3579,17165888,28210996,25785760,161099,4215733
212,30340888,28210996,17165888,17071967,17061551,27414384,30037874,30375421,453916,25785760
213,3008,10065,19321,24178,30118,30119,42369,47281,77390,84369
214,17165888,32333298,936503,28210996,17262290,24885829,20708773,758707,28814845,161099
215,3579,37186,763588,78411,2998,10365,78418,643711,22917,3008
216,7846067,763588,5,29102876,17165888,31626023,8319728,816487,28210996,32333298
217,5,113946,763588,7846067,13083239,109059,161099,17165888,8319728,7893
218,11387515,7846067,763588,5,16101018,9677870,7844798,2904330,27247476,28210996
219,763588,3579,28210996,29102876,161099,17165888,8319728,16029151,816487,7846067
220,763588,8337,3579,4215733,816487,9673436,69139,23772,17165888,161099
221,763588,7846067,17165888,18051269,16029151,31145060,4215733,7692533,30340888,13586915
222,27247476,165068,9677870,763588,33376257,31145060,24819508,4215733,3579,17846011
223,763588,7846067,33376257,3579,9677870,17165888,18051269,28210996,31145060,30340888
224,763588,7846067,13083239,858586,18051269,29279220,7844798,4215733,68653,161099
225,763588,17165888,935170,8319728,7893,28210996,109059,289866,68653,834493
226,2998,47281,34268,6347563,7846067,13083239,20708773,22504710,22693811,22747796
227,3636,763588,7846067,176972,165068,29291,28210996,30119,9822,161099
228,3579,28210996,17165888,763588,20708773,9322920,165068,453916,8319728,7893
229,17165888,29102876,30340888,453916,8319728,32956666,763588,3579,31145060,24885829
230,3579,763588,29102876,37186,3636,17165888,4215733,9677870,7846067,32333298
231,763588,17165888,4215733,17071967,28210996,8319728,23590446,29279220,18051269,25785760
232,30118,763588,13083239,17165888,5,176972,38709,816487,28210996,161099
233,5,140225,763588,6347563,7846067,9661136,10845916,11556479,11594337,13083239
234,5,10065,47281,84369,763588,6347563,7846067,11387515,13083239,16101018
235,28637454,172327,65111,29279220,25361885,17165888,25785760,20697464,909257,68653
236,5,763588,2904330,6347563,9661136,11387515,13083239,17846011,18405521,21965198
237,763588,4215733,17165888,8319728,30340888,31145060,18051269,28210996,3579,68653
238,763588,7846067,11233988,17165888,17262290,2904330,7844798,9677870,109059,13083239
239,763588,31626023,30340888,11556479,5,17165888,33784360,11233988,16285053,816487
240,34523572,29102876,758707,17165888,68653,17071967,289866,28210996,18667875,29279220
241,758707,29102876,28210996,763588,12065943,23310669,7846067,17165888,30205595,109059
242,3008,30119,77390,6310,763588,13083239,3579,37186,25058,8319728
243,763588,176972,4215733,18051269,165068,3008,13083239,23590446,8319728,816487
244,763588,17165888,13083239,28210996,68653,4215733,29102876,18051269,18667875,29279220
245,17165888,30340888,28210996,24885829,25785760,22889878,33784360,453916,34137106,28818766
246,763588,3579,31145060,29102876,176972,17165888,16029151,28210996,161099,19330
247,763588,3579,816487,176972,29279220,7846067,11301,31743096,4215733,31626023
248,7846067,13083239,763588,2998,157993,37186,9673436,3579,3980,18051269
249,9677870,3579,7846067,763588,936503,27247476,8319728,165068,33376257,9673436
250,4215733,17165888,29152096,763588,23590446,7893,68653,5,31145060,33376257
251,9677870,5,30340888,27247476,30205595,28210996,32333298,24885829,28114578,33376257
252,5,4948,113946,763588,7846067,9642662,9661136,13083239,13624190,17082833
253,30119,763588,13083239,3579,18051269,30120,176972,30118,28210996,22917
254,5,23772,24178,113946,140225,763588,2904330,5983694,6347563,7623958
255,13083239,19543,32333298,7846067,30118,763588,38709,9677870,515904,161099
256,30340888,17165888,29102876,24885829,30205595,24819508,28210996,13591670,20256596,23310669
257,5,140225,763588,6347563,7846067,13083239,16101018,3579,109059,23528363
258,763588,11387515,13083239,21965198,22718727,22750286,25785698,25785760,27247476,28449045
259,763588,16029151,18051269,3579,28210996,7846067,9677870,11387515,3636,27247476
260,17262290,17165888,29102876,20696727,28210996,30205595,763588,16029151,4215733,33376257
261,19543,28210996,7846067,17262290,763588,29291,113946,138070,10365,29102876
262,3579,176972,31145060,4948,13083239,31258103,17165888,65113,8319728,763588
263,763588,8319728,7846067,3323157,30340888,18637037,30205595,26800718,28210996,11556479
264,176972,763588,17165888,776407,2998,68653,83369,25058,916666,421642
265,68653,17165888,763588,7893,900065,108538,23590446,176972,2060655,25785760
266,763588,7846067,28210996,816487,13083239,25817074,22889878,17165888,28507895,7268995
267,2998,24178,763588,11594337,13083239,3579,22917,47558,37186,109059
268,763588,4215733,68653,28210996,29102876,8319728,17165888,33016249,834493,816487
269,763588,13083239,30340888,165068,816487,17262290,161099,4215733,113946,30555639
270,191113,9677870,7846067,515904,6871646,763588,17082833,2904330,776407,489972
271,763588,13083239,161099,17165888,8319728,28210996,176972,816487,3579,4215733
272,763588,28210996,29102876,8319728,17165888,758707,7846067,4215733,18051269,30340888
273,5,763588,7846067,17165888,191113,8319728,18051269,28210996,176972,4215733
274,24213,172327,131123,65119,438492,78411,78418,763588,3636,860745
275,30119,30118,763588,9677870,3636,7846067,3579,176972,816487,24178
276,763588,19543,17165888,816487,109059,443103,31145060,163657,176972,68653
277,17165888,3579,4215733,16029151,763588,29102876,420282,3636,31145060,161099
278,17165888,28210996,30340888,33376257,3579,763588,31145060,8319728,7846067,109059
279,13083239,17165888,763588,7846067,16029151,8319728,30340888,30205595,109059,758707
280,17165888,7846067,7844798,33376257,28210996,30340888,2904330,9677870,17262290,32333298
281,763588,3579,17165888,33376257,18051269,816487,32333298,30340888,7844798,31626023
282,30205595,17165888,30340888,20518841,7844798,28362008,9322920,20696727,23310669,31213527
283,5,763588,7846067,13083239,23310669,24819508,25785760,33376257,3579,109059
284,17165888,30340888,29102876,30205595,13591670,22750286,20708773,31626023,9673436,33158525
285,763588,7846067,17165888,28210996,13083239,816487,161099,22917,17239036,11556479
286,29102876,763588,936503,24885829,4215733,17165888,357664,32956666,2805987,16029151
287,23772,30118,113946,394772,3636,370493,685472,763588,6347563,7846067
288,11387515,9677870,8319728,13083239,30340888,16029151,18051269,682751,28210996,17165888
289,763588,29102876,3579,32333298,28210996,8319728,3476560,176972,453916,17165888
290,4600,32333298,776407,9650100,28814845,98573,17165888,31145060,42486,515906
291,763588,7846067,9677870,17165888,8319728,7844798,515904,176972,31145060,4215733
292,6319,3579,30120,53496,9677870,4948,6310,38709,420282,7747422
293,758707,9673436,7846067,8319728,18051269,29102876,7692533,16029151,28210996,3980
294,7893,176972,763588,17165888,3579,83346,219557,543505,8319728,935170
295,17165888,4215733,69139,176972,7846067,421642,763588,28210996,25058,758707
296,3008,10065,3636,24963,29313,34268,83369,763588,5983694,6347563
297,7846067,31145060,165068,28210996,29102876,30340888,17165888,763588,4215733,31626023
298,17165888,763588,161099,176972,4215733,776407,28210996,69139,42486,68653
299,3008,30119,77390,84369,140225,420180,474858,511614,728456,1129316
300,17165888,33376257,24885829,27247476,32333298,25893953,31145060,28507895,33016249,28114578
301,16029151,19543,34523572,9642662,758707,4215733,25377078,28362008,34002075,17165888
302,17165888,4215733,28210996,16029151,30340888,763588,9677870,25377078,31145060,68653
303,5,763588,6347563,7846067,11387515,13083239,17846011,22693811,25785760,27247476
304,28210996,17165888,763588,47558,31145060,24819508,18667875,453916,8319728,7846067
305,7846067,5,763588,18051269,161099,22917,3579,8337,515906,7692533
306,30119,29313,763588,7846067,9661136,11556479,11594337,13083239,13531024,17846011
307,191113,763588,13531024,1062516,30120,30119,11233988,17165888,28210996,13083239
308,17262290,17165888,763588,29102876,28210996,16029151,4215733,33413919,20696727,3579
309,763588,11387515,13083239,9677870,816487,176972,8319728,8999818,9673436,27247476
310,763588,29102876,161099,17165888,28210996,20697464,30205595,30340888,816487,7692533
311,763588,4215733,816487,30340888,24885829,30205595,29152096,17165888,25785760,2805987
312,28210996,17165888,30340888,7846067,33376257,763588,29102876,20696727,28114578,31145060
313,763588,7846067,13083239,28210996,30119,17165888,16029151,24885829,3579,13586915
314,763588,17262290,17165888,29102876,28210996,31145060,176972,453916,7846067,25785760
315,7846067,763588,28210996,13083239,4215733,68653,33376257,27206444,654169,18051269
316,763588,9673436,29102876,6319,816487,176972,8319728,17165888,28210996,30340888
317,28210996,17165888,1422149,29102876,453916,887573,18051269,31145060,7893,30340888
318,7846067,7844798,17165888,28210996,33376257,27247476,515904,763588,9677870,30205595
319,5,3636,763588,2904330,7623958,7846067,11387515,11594337,13083239,13531024
320,3579,161099,28210996,4215733,7846067,22917,816487,18051269,176972,9677870
321,313375,17239036,763588,7772,183999,176972,816487,10390182,460548,140225
322,763588,31145060,30340888,176972,17165888,8337,7893,140225,3579,421642
323,763588,4215733,816487,18051269,28210996,3579,29279220,31145060,11594337,3636
324,28210996,32333298,29102876,17165888,25377078,33376257,24633190,453916,23528363,816487
325,763588,887573,17165888,28210996,33376257,47558,68653,4215733,8319728,515904
326,191113,25361885,17846011,6871646,22889878,8319728,9677870,16669264,936503,32333298
327,29102876,140181,763588,32956666,16029151,5,8319728,17165888,3008,453916
328,30340888,7692533,17165888,28210996,763588,17262290,28362008,1709300,7846067,29102876
329,763588,161099,17165888,8319728,28210996,30340888,29102876,24885829,17269361,18051269
330,18051269,12909209,2076421,30340888,30652384,13586915,30205595,24885829,28863276,18222556
331,2998,30119,113946,763588,7846067,9661136,13083239,3579,515906,161099
332,7846067,763588,113946,23772,816487,31145060,233093,515904,29102876,17082833
333,763588,17262290,17165888,4215733,29102876,7844798,7846067,816487,24885829,18051269
334,17165888,30340888,17071967,25785760,31145060,28210996,7692533,763588,34523572,31626023
335,17165888,420282,9673436,763588,23528363,4215733,936503,33376257,30205595,30340888
336,8337,3579,176972,3008,763588,165068,77390,2998,25058,17491
337,763588,176972,165068,5,17165888,161099,28210996,31145060,68653,13083239
338,30205595,13083239,17262290,24819508,34523572,28210996,17165888,7692533,16029151,763588
339,17165888,29279220,763588,68653,13083239,16029151,28210996,4215733,47558,3579
340,28210996,33016249,13083239,17165888,161099,763588,4215733,3579,7846067,29279220
341,28210996,29102876,17165888,32333298,763588,23528363,27247476,7844798,24885829,30205595
342,30340888,33376257,17165888,17082833,25785628,8999818,28114578,68653,23341903,23310669
343,5,2998,3008,3980,4948,10065,19543,23772,24178,30118
344,9673436,763588,2998,69139,29291,3579,30120,816487,334818,7846067
345,29102876,17165888,4215733,161099,763588,31145060,28210996,27135124,176972,24819508
346,30340888,17165888,29102876,18667875,161099,7692533,28210996,20708773,300946,17262290
347,763588,69139,3579,176972,13083239,7846067,17239036,163716,6310,17165888
348,33376257,16002003,17165888,18051269,7893,25377078,28210996,31456756,4215733,30340888
349,17165888,28210996,763588,13083239,42486,4215733,24819508,113946,69139,18051269
350,77390,8337,157993,763588,6347563,7846067,11387515,11556479,13083239,22693811
351,511614,24963,763588,6347563,7846067,9642662,9661136,12065943,13083239,13337050
352,7784,23772,24178,30119,98573,113946,763588,6347563,7846067,13083239
353,763588,30120,176972,816487,13083239,28210996,3579,11556479,25785760,8319728
354,17165888,33376257,32333298,31145060,24885829,30340888,7846067,30205595,23310669,20256596
355,5,763588,29102876,17165888,13083239,3579,28210996,161099,30340888,176972
356,7846067,763588,11594337,8319728,113946,13083239,816487,23528363,7844798,6871646
357,763588,28114578,31626023,28210996,6871646,13083239,23528363,33376257,8319728,9677870
358,233093,7779,7784,23772,113946,999378,11301,41757,22917,30118
359,233093,4948,125507,176972,763588,816487,29291,301736,22917,7846067
360,763588,125507,767680,816487,176972,826585,3579,301736,46677,109059
361,113946,23528363,161099,30205595,29102876,7846067,33376257,24885829,233093,4215733
362,763588,8319728,13083239,30340888,28210996,17165888,7846067,18051269,9677870,161099
363,763588,3579,9677870,816487,8319728,69139,161099,31626023,176972,10659536
364,763588,17165888,453916,834493,28210996,77390,4215733,3579,29102876,776407
365,10365,763588,19543,3579,334818,489972,176972,28210996,22917,18667875
366,4215733,68653,30205595,13083239,7846067,17165888,763588,13260645,24885829,32333298
367,140225,13083239,763588,7846067,3636,6310,161099,176972,16101018,28210996
368,763588,7692533,30340888,29102876,31626023,816487,30205595,24885829,17165888,16101018
